"time","_geo","geo","type_vio","_type_vio","sex_vic","_sex_vic","unit","_unit","value","_flag"
2014,"AT","Austria","Intimate partner violence","IPV","Female","F","Number","NR",,
2015,"AT","Austria","Intimate partner violence","IPV","Female","F","Number","NR",,
2016,"AT","Austria","Intimate partner violence","IPV","Female","F","Number","NR",,
2017,"AT","Austria","Intimate partner violence","IPV","Female","F","Number","NR",,
2018,"AT","Austria","Intimate partner violence","IPV","Female","F","Number","NR",,
2019,"AT","Austria","Intimate partner violence","IPV","Female","F","Number","NR",,
2020,"AT","Austria","Intimate partner violence","IPV","Female","F","Number","NR",,
2021,"AT","Austria","Intimate partner violence","IPV","Female","F","Number","NR",,
2022,"AT","Austria","Intimate partner violence","IPV","Female","F","Number","NR",,
2014,"AT","Austria","Intimate partner violence","IPV","Total","T","Number","NR",,
2015,"AT","Austria","Intimate partner violence","IPV","Total","T","Number","NR",,
2016,"AT","Austria","Intimate partner violence","IPV","Total","T","Number","NR",,
2017,"AT","Austria","Intimate partner violence","IPV","Total","T","Number","NR",,
2018,"AT","Austria","Intimate partner violence","IPV","Total","T","Number","NR",,
2019,"AT","Austria","Intimate partner violence","IPV","Total","T","Number","NR",,
2020,"AT","Austria","Intimate partner violence","IPV","Total","T","Number","NR",,
2021,"AT","Austria","Intimate partner violence","IPV","Total","T","Number","NR",,
2022,"AT","Austria","Intimate partner violence","IPV","Total","T","Number","NR",,
2014,"AT","Austria","Domestic violence","DV","Female","F","Number","NR",,
2015,"AT","Austria","Domestic violence","DV","Female","F","Number","NR",,
2016,"AT","Austria","Domestic violence","DV","Female","F","Number","NR",,
2017,"AT","Austria","Domestic violence","DV","Female","F","Number","NR",,
2018,"AT","Austria","Domestic violence","DV","Female","F","Number","NR",,
2019,"AT","Austria","Domestic violence","DV","Female","F","Number","NR",,
2020,"AT","Austria","Domestic violence","DV","Female","F","Number","NR",,
2021,"AT","Austria","Domestic violence","DV","Female","F","Number","NR",,
2022,"AT","Austria","Domestic violence","DV","Female","F","Number","NR",,
2014,"AT","Austria","Domestic violence","DV","Total","T","Number","NR",,
2015,"AT","Austria","Domestic violence","DV","Total","T","Number","NR",,
2016,"AT","Austria","Domestic violence","DV","Total","T","Number","NR",,
2017,"AT","Austria","Domestic violence","DV","Total","T","Number","NR",,
2018,"AT","Austria","Domestic violence","DV","Total","T","Number","NR",,
2019,"AT","Austria","Domestic violence","DV","Total","T","Number","NR",,
2020,"AT","Austria","Domestic violence","DV","Total","T","Number","NR",,
2021,"AT","Austria","Domestic violence","DV","Total","T","Number","NR",,
2022,"AT","Austria","Domestic violence","DV","Total","T","Number","NR",,
2014,"AT","Austria","Any violence","ANY","Female","F","Number","NR",,
2015,"AT","Austria","Any violence","ANY","Female","F","Number","NR",,
2016,"AT","Austria","Any violence","ANY","Female","F","Number","NR",,
2017,"AT","Austria","Any violence","ANY","Female","F","Number","NR",,
2018,"AT","Austria","Any violence","ANY","Female","F","Number","NR",,
2019,"AT","Austria","Any violence","ANY","Female","F","Number","NR",,
2020,"AT","Austria","Any violence","ANY","Female","F","Number","NR",,
2021,"AT","Austria","Any violence","ANY","Female","F","Number","NR",,
2022,"AT","Austria","Any violence","ANY","Female","F","Number","NR",,
2014,"AT","Austria","Any violence","ANY","Total","T","Number","NR",,
2015,"AT","Austria","Any violence","ANY","Total","T","Number","NR",,
2016,"AT","Austria","Any violence","ANY","Total","T","Number","NR",,
2017,"AT","Austria","Any violence","ANY","Total","T","Number","NR",,
2018,"AT","Austria","Any violence","ANY","Total","T","Number","NR",,
2019,"AT","Austria","Any violence","ANY","Total","T","Number","NR",,
2020,"AT","Austria","Any violence","ANY","Total","T","Number","NR",,
2021,"AT","Austria","Any violence","ANY","Total","T","Number","NR",,
2022,"AT","Austria","Any violence","ANY","Total","T","Number","NR",,
2014,"BE","Belgium","Intimate partner violence","IPV","Female","F","Number","NR",,
2015,"BE","Belgium","Intimate partner violence","IPV","Female","F","Number","NR",,
2016,"BE","Belgium","Intimate partner violence","IPV","Female","F","Number","NR",,
2017,"BE","Belgium","Intimate partner violence","IPV","Female","F","Number","NR",,
2018,"BE","Belgium","Intimate partner violence","IPV","Female","F","Number","NR",,
2019,"BE","Belgium","Intimate partner violence","IPV","Female","F","Number","NR",,
2020,"BE","Belgium","Intimate partner violence","IPV","Female","F","Number","NR",,
2021,"BE","Belgium","Intimate partner violence","IPV","Female","F","Number","NR",,
2022,"BE","Belgium","Intimate partner violence","IPV","Female","F","Number","NR",,
2014,"BE","Belgium","Intimate partner violence","IPV","Total","T","Number","NR",,
2015,"BE","Belgium","Intimate partner violence","IPV","Total","T","Number","NR",,
2016,"BE","Belgium","Intimate partner violence","IPV","Total","T","Number","NR",,
2017,"BE","Belgium","Intimate partner violence","IPV","Total","T","Number","NR",,
2018,"BE","Belgium","Intimate partner violence","IPV","Total","T","Number","NR",,
2019,"BE","Belgium","Intimate partner violence","IPV","Total","T","Number","NR",,
2020,"BE","Belgium","Intimate partner violence","IPV","Total","T","Number","NR",,
2021,"BE","Belgium","Intimate partner violence","IPV","Total","T","Number","NR",,
2022,"BE","Belgium","Intimate partner violence","IPV","Total","T","Number","NR",,
2014,"BE","Belgium","Domestic violence","DV","Female","F","Number","NR",,
2015,"BE","Belgium","Domestic violence","DV","Female","F","Number","NR",,
2016,"BE","Belgium","Domestic violence","DV","Female","F","Number","NR",,
2017,"BE","Belgium","Domestic violence","DV","Female","F","Number","NR",,
2018,"BE","Belgium","Domestic violence","DV","Female","F","Number","NR",,
2019,"BE","Belgium","Domestic violence","DV","Female","F","Number","NR",,
2020,"BE","Belgium","Domestic violence","DV","Female","F","Number","NR",,
2021,"BE","Belgium","Domestic violence","DV","Female","F","Number","NR",,
2022,"BE","Belgium","Domestic violence","DV","Female","F","Number","NR",,
2014,"BE","Belgium","Domestic violence","DV","Total","T","Number","NR",,
2015,"BE","Belgium","Domestic violence","DV","Total","T","Number","NR",,
2016,"BE","Belgium","Domestic violence","DV","Total","T","Number","NR",,
2017,"BE","Belgium","Domestic violence","DV","Total","T","Number","NR",,
2018,"BE","Belgium","Domestic violence","DV","Total","T","Number","NR",,
2019,"BE","Belgium","Domestic violence","DV","Total","T","Number","NR",,
2020,"BE","Belgium","Domestic violence","DV","Total","T","Number","NR",,
2021,"BE","Belgium","Domestic violence","DV","Total","T","Number","NR",,
2022,"BE","Belgium","Domestic violence","DV","Total","T","Number","NR",,
2014,"BE","Belgium","Any violence","ANY","Female","F","Number","NR",,
2015,"BE","Belgium","Any violence","ANY","Female","F","Number","NR",,
2016,"BE","Belgium","Any violence","ANY","Female","F","Number","NR",,
